,RiskFree_Rate_1Month_Forward
186,0.005726221928130795
187,0.0008531212235057849
188,0.004191634537819809
189,0.008641672610188595
190,0.005061234631199676
191,0.012684441067178413
192,0.01224616119121423
193,0.013210653130737215
194,0.016401455765277427
195,0.019281789324078813
196,0.01825405959477255
197,0.018512637581668486
198,0.01520841052181905
199,0.010932389614483453
200,0.008041505218678309
201,0.00535574011930231
202,0.006011347011173628
203,0.0035711494577911696
204,0.0033276909749804648
205,0.0034639956645032997
206,0.0017186332750054089
207,-0.0004178069490011363
208,-0.0022305592338417476
209,-0.002988681273095804
210,-0.006340619734858975
211,-0.005634596133137191
212,-0.008108110430804283
213,-0.009853657996759151
214,-0.01214192874668949
215,-0.014762892094076045
216,-0.016436492540369
217,-0.017957804816025717
218,-0.02277630616993509
219,-0.02583667689061408
220,-0.02725857177193278
221,-0.0298801989059839
222,-0.02999728335812858
223,-0.030791743434123584
224,-0.030448575385871212
225,-0.033362115763297145
226,-0.031161702830967877
227,-0.033813120782189246
228,-0.032412569896261664
229,-0.03355502175215481
230,-0.03477186810822689
231,-0.03589674131474489
232,-0.034562671476666446
233,-0.03162342858756868
234,-0.030412802301466504
235,-0.03495996239848098
236,-0.03605308259278833
237,-0.035149611023011826
238,-0.03415990398331379
239,-0.03829936148507857
240,-0.03530622193352186
241,-0.034754208186997364
242,-0.03333418952422741
243,-0.03558986457901168
244,-0.034183693729749456
245,-0.03226917165644971
246,-0.03509925997873725
247,-0.03307415526564032
248,-0.033315993528287215
249,-0.034077193745873924
250,-0.03236159994690621
251,-0.04080732040684969
252,-0.03610744398777316
253,-0.03450147883656484
254,-0.034653562670396224
255,-0.03239143147166154
256,-0.03249882807752982
257,-0.03347169494619054
258,-0.031441377752780754
259,-0.03536817277247439
260,-0.037865336351530894
261,-0.03800284543319474
262,-0.03866769351759818
263,-0.04237811721104399
264,-0.037516913817278126
265,-0.04009708286966477
266,-0.03701557273558298
267,-0.03305198066281106
268,-0.032588128874231695
269,-0.03252569584402361
270,-0.03488205146491298
271,-0.039480866820647435
272,-0.04529282818457174
273,-0.04558544092259736
274,-0.04785189359644885
275,-0.050521596382667316
276,-0.05026136664352232
277,-0.04728965267508444
278,-0.04954566037211834
279,-0.04804350811276025
280,-0.04868926286831241
281,-0.049652636074778454
282,-0.049370143413561045
283,-0.04971689904911103
284,-0.0512046515607248
285,-0.051309586491878466
286,-0.05106974855381235
287,-0.03790682175250898
288,-0.0005830543510521801
